feature,importance
rainfall_30d_cum,0.23727402
soil_saturation_proxy,0.22071342
rainfall_7d_cum,0.19483097
rainfall_14d_cum,0.19106509
rainfall_delta_3d,0.01880407
rainfall_3d_max,0.018633936
API_7d,0.015654437
flow_accumulation,0.014707342
rainfall_3d_cum,0.012597851
rainfall_24h,0.01221063
rainfall_delta_1d,0.010644502
API_14d,0.010030478
forecast_rainfall,0.009957096
slope,0.008203739
rainfall_7d_max,0.0069776885
historical_flood_risk,0.006669959
soil_moisture,0.006347673
elevation,0.0046771546
drainage_distance,0.0
stream_distance,0.0
