feature,importance
rainfall_30d_cum,0.17116183689261955
rainfall_7d_cum,0.16610806301929595
rainfall_14d_cum,0.16121778132626918
soil_saturation_proxy,0.1576600657792533
rainfall_delta_3d,0.13070073346929223
API_7d,0.041462369289162505
API_14d,0.028800695695232297
rainfall_24h,0.028453344320708864
rainfall_3d_cum,0.02433738466254395
rainfall_intensity_on_wet,0.019631004005930253
rainfall_3d_max,0.016944951878710847
rainfall_delta_1d,0.016135064355362085
ground_tilt,0.012329779916649899
historical_landslide_risk,0.006668317268555613
rainfall_7d_max,0.005596075339685491
elevation,0.005084224010639046
soil_moisture,0.004021735788587425
slope,0.003686572981501432
